seat_id,floor,zone,x,y,node
2E2_034,2,E2,3685347.023657973,-2664309.195398873,2E2_3
2E2_035,2,E2,3684595.0858855657,-2664308.146163892,2E2_3
2E2_036,2,E2,3683843.148113159,-2664307.096928911,2E2_3
2E2_037,2,E2,3692115.485042946,-2663586.624901611,2E2_4
2E2_038,2,E2,3691363.547270539,-2663585.5756666297,2E2_4
2E2_039,2,E2,3690611.609498132,-2663584.526431649,2E2_4
2E2_040,2,E2,3689859.671725725,-2663583.477196668,2E2_4
2E2_041,2,E2,3689107.733953318,-2663582.4279616866,2E2_4
2E2_042,2,E2,3688355.796180912,-2663581.378726705,2E2_4
2E2_043,2,E2,3687603.8584085046,-2663580.3294917243,2E2_3
2E2_044,2,E2,3686851.920636098,-2663579.280256743,2E2_3
2E2_045,2,E2,3686099.9828636902,-2663578.231021762,2E2_3
2E2_046,2,E2,3685348.045091284,-2663577.1817867807,2E2_3
2E2_047,2,E2,3684596.107318877,-2663576.1325517995,2E2_3
2E2_048,2,E2,3683844.16954647,-2663575.0833168183,2E2_3
2E2_049,2,E2,3692116.506476257,-2662854.611289519,2E2_4
2E2_050,2,E2,3691364.56870385,-2662853.5620545377,2E2_4
2E2_051,2,E2,3690612.630931443,-2662852.512819557,2E2_4
2E2_052,2,E2,3689860.693159036,-2662851.463584576,2E2_2
2E2_053,2,E2,3689108.755386629,-2662850.4143495946,2E2_2
2E2_054,2,E2,3688356.8176142224,-2662849.365114613,2E2_2
2E2_055,2,E2,3687604.879841816,-2662848.3158796323,2E2_3
2E2_056,2,E2,3686852.942069409,-2662847.266644651,2E2_3
2E2_057,2,E2,3686101.0042970018,-2662846.21740967,2E2_1
2E2_058,2,E2,3685349.0665245946,-2662845.1681746887,2E2_1
2E2_059,2,E2,3684597.128752188,-2662844.1189397075,2E2_1
2E2_060,2,E2,3683845.190979781,-2662843.0697047263,2E2_3
2E2_061,2,E2,3692117.527909568,-2662122.5976774264,2E2_2
2E2_062,2,E2,3691365.590137161,-2662121.548442445,2E2_2
2E2_063,2,E2,3690613.652364754,-2662120.4992074645,2E2_2
2E2_064,2,E2,3689861.714592347,-2662119.449972484,2E2_2
2E2_065,2,E2,3689109.77681994,-2662118.400737502,2E2_2
2E2_066,2,E2,3688357.8390475335,-2662117.351502521,2E2_2
2E2_067,2,E2,3687605.901275127,-2662116.30226754,2E2_1
2E2_068,2,E2,3686853.96350272,-2662115.2530325586,2E2_1
2E2_069,2,E2,3686102.025730313,-2662114.2037975774,2E2_1
2E2_070,2,E2,3685350.0879579056,-2662113.154562596,2E2_1
2E2_071,2,E2,3684598.150185499,-2662112.105327615,2E2_1
2E2_072,2,E2,3683846.212413092,-2662111.056092634,2E2_1
2E2_073,2,E2,3692118.549342879,-2661390.584065334,2E2_2
2E2_074,2,E2,3691366.611570472,-2661389.5348303528,2E2_2
2E2_075,2,E2,3690614.6737980647,-2661388.485595372,2E2_2
2E2_076,2,E2,3689862.7360256575,-2661387.436360391,2E2_2
2E2_077,2,E2,3689110.798253251,-2661386.3871254097,2E2_2
